presynaptic,postsynaptic,synapse ID,,,,,,
M5,pm5,28226,,,,,,
M5,pm5,28328,,,,,,
M5,pm5,28334,,,,,,
pm5,mc3DL,28336,,,,,,
M2L,I5,27758,,,,,,
M2L,I5,27760,,,,,,
M2L,I5,27762,,,,,,
M2L,NSML,27758,,,,,,
M2L,NSML,27760,,,,,,
M2L,NSML,27762,,,,,,
M2L,mc2DL,28244,,,,,,
M2L,mc2DL,28246,,,,,,
M2L,mc2DL,28248,,,,,,
M2L,mc2DL,28250,,,,,,
M2L,mc2DL,28252,,,,,,
M2L,mc2DL,28254,,,,,,
M2L,mc2DL,28256,,,,,,
M2L,mc2DL,28260,,,,,,
M2L,pm4,28264,,,,,,
M2L,pm5,28199,,,,,,
M2L,pm5,28201,,,,,,
M2L,pm5,28258,,,,,,
M2L,pm5,28262,,,,,,
I4,M1,27768,,,,,,
I4,I2R,27726,,,,,,
I4,MI,27341,,,,,,
I4,MI,27359,,,,,,
I4,MI,27371,,,,,,
I4,M3R,27420,,,,,,
I4,M3R,27770,,,,,,
I4,I3,27341,,,,,,
I4,I5,27359,,,,,,
I4,I5,27715,,,,,,
I4,I5,27726,,,,,,
I4,I5,27754,,,,,,
I4,M4,27371,,,,,,
I4,MCL,27371,,,,,,
I4,MCL,27534,,,,,,
M2R,NSMR,28051,,,,,,
M2R,NSMR,28092,,,,,,
M2R,I5,28051,,,,,,
M2R,I5,28092,,,,,,
M2R,mc2DR,28232,,,,,,
M2R,mc2DR,28234,,,,,,
M2R,mc2DR,28236,,,,,,
M2R,mc2DR,28238,,,,,,
M2R,mc2DR,28240,,,,,,
M2R,pm4,28228,,,,,,
M2R,pm4,28230,,,,,,
M2R,pm5,28242,,,,,,
